S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4057,STET College of Education for Women,"Sundarakkottai, Mannargudi, Thiruvarur, Tamil Nadu 614016",10.7,79.45,www.stet.edu.in/,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Tiruvarur,TR,TN Central,Tamil Nadu
4058,Subasakthi Arts And Science ( W ) College,"Sathyamangalam, Kulithalai Tk.",10.9,78.39,,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Karur,KR,TN West,Tamil Nadu
4059,Subbulakshmi Lakshmipathy College of Science [Co-Ed],"TVR Nagar, Madurai.",9.8,78.09,http://rlinstitutes.edu.in/,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Madurai,MDU,TN South,Tamil Nadu
4060,SUBRAMANIAN POLYTECHNIC COLLEGE,"Arimalam Road, Rayavaram, Tamil Nadu 622506, India",10.3,78.82,sptc.org.in/,Self Finance,Polytechnic College,Polytechnic College,,Pudukkottai,PU,TN Central,Tamil Nadu
4061,Subramanya College of Arts And Science For Women,"Renukadevi Building, 72, East Ghat Road, Dindigul.",10.5,77.42,,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Dindigul,DI,TN West,Tamil Nadu
4062,Sudarsan Arts And Science College,"Irungur Taluka, Pudukkottai.",10.4,78.76,,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Pudukkottai,PU,TN Central,Tamil Nadu
4063,Sudharsan Engineering College,"NH-336 Sathyamangalam, Kulathur(Tk.), Pudukkottai(Dt.),Pin 622501",10.5,78.78,www.sec.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Pudukkottai,PU,TN Central,Tamil Nadu
4064,Sudharsan Engineering College,"NH-336 Sathyamangalam, Kulathur(Tk.), Pudukkottai(Dt.),Pin 622501",10.5,78.78,www.sec.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Pudukkottai,PU,TN Central,Tamil Nadu
4065,Sudharsan Engineering College,"NH-336 Sathyamangalam, Kulathur(Tk.), Pudukkottai(Dt.),Pin 622501",10.5,78.78,www.sec.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Pudukkottai,PU,TN Central,Tamil Nadu
4066,Sudharsan Engineering College,"NH-336 Sathyamangalam, Kulathur(Tk.), Pudukkottai(Dt.),Pin 622501",10.5,78.78,www.sec.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Pudukkottai,PU,TN Central,Tamil Nadu
